Pop_Name,yr,rec4,rec5,R,S
Seymour,1986,811714,11322,823036,57017
Seymour,1987,416101,25805,441906,41080
Seymour,1988,9027,1816,10843,7989
Seymour,1989,18809,0,18809,2864
Seymour,1990,272278,6413,278691,108234
Seymour,1991,84310,11139,95449,60797
Seymour,1992,15128,2778,17906,3586
Seymour,1993,6251,2465,8716,4950
Seymour,1994,169885,2662,172547,19152
Seymour,1995,64323,1700,66023,23901
Seymour,1996,32991,6479,39470,9590
Seymour,1997,1944,0,1944,836
Seymour,1998,210538,3684,214222,14548
Seymour,1999,105903,27996,133899,10072
Seymour,2000,58537,1026,59563,11860
Seymour,2001,14842,4200,19042,3743
Seymour,2002,497726,9077,506803,55465
Seymour,2003,11206,870,12076,18483
Seymour,2004,6671,247,6918,762
Seymour,2005,7820,0,7820,2326
Seymour,2006,1063631,22106,1085737,57783
Seymour,2007,18056,217,18273,5905
Seymour,2008,2173,182,2355,311
Seymour,2009,43538,3429,46967,3093
Seymour,2010,268598,4283,272881,287496
Seymour,2011,16741,225,16966,7994
Seymour,2012,676,143,819,264
Seymour,2013,4528,3310,7838,13883
Seymour,2014,384044,1806,385850,57414
Seymour,2015,858,0,858,3960
Seymour,2016,1274,335,1609,181
Seymour,2017,12226,806,13032,1677
Seymour,2018,80977,NA,NA,62261
Seymour,2019,NA,NA,NA,682
Seymour,2020,NA,NA,NA,387
Late Shuswap,1948,22876,5454,28330,8502
Late Shuswap,1949,21384,0,21384,2011
Late Shuswap,1950,9303676,12645,9316321,583072
Late Shuswap,1951,519779,2251,522030,82094
Late Shuswap,1952,14320,2131,16451,4211
Late Shuswap,1953,29571,0,29571,1623
Late Shuswap,1954,15095741,12060,15107801,1067640
Late Shuswap,1955,853267,609,853876,44634
Late Shuswap,1956,6961,458,7419,2103
Late Shuswap,1957,2206,0,2206,1651
Late Shuswap,1958,2076776,4097,2080873,1128898
Late Shuswap,1959,374501,106,374607,89270
Late Shuswap,1960,2333,0,2333,1322
Late Shuswap,1961,6996,0,6996,854
Late Shuswap,1962,2740250,10891,2751141,652104
Late Shuswap,1963,3047429,3663,3051092,80246
Late Shuswap,1964,17103,177,17280,345
Late Shuswap,1965,24312,0,24312,1332
Late Shuswap,1966,3914887,22138,3937025,661765
Late Shuswap,1967,3108302,8076,3116378,402434
Late Shuswap,1968,20709,74,20783,2713
Late Shuswap,1969,27967,0,27967,3166
Late Shuswap,1970,5373956,2667,5376623,787577
Late Shuswap,1971,680311,128,680439,159119
